timestamp,side,symbol,instrument_key,qty,entry_price,sl_price,tgt_price,reason
2025-12-18T10:39:46,BUY,niso-bot,NSE_FO|56995,150,92.5,74.0,120.25,ENTRY
2025-12-18T11:00:06,BUY,niso-bot,NSE_FO|56995,150,90.3,72.24,117.39,ENTRY
2025-12-18T11:25:56,SELL,niso-bot,NSE_FO|56995,150,,72.24,117.39,EXIT_TRAIL
2025-12-18T11:33:19,BUY,niso-bot,NSE_FO|56995,150,81.55,65.24,106.02,ENTRY
2025-12-18T12:28:27,BUY,niso-bot,NSE_FO|57002,150,95.4,76.32,124.02,ENTRY
2025-12-18T12:32:49,BUY,niso-bot,NSE_FO|57002,150,94.4,75.52,122.72,ENTRY
2025-12-18T12:41:35,BUY,niso-bot,NSE_FO|57002,150,91.5,73.2,118.95,ENTRY
2025-12-18T12:47:23,BUY,niso-bot,NSE_FO|57002,150,88.2,70.56,114.66,ENTRY
2025-12-18T12:49:51,BUY,niso-bot,NSE_FO|57002,150,91.3,73.04,118.69,ENTRY
2025-12-18T12:51:21,BUY,niso-bot,NSE_FO|57002,150,91.75,73.4,119.28,ENTRY
2025-12-18T12:57:56,BUY,niso-bot,NSE_FO|57002,150,98.6,78.88,128.18,ENTRY
2025-12-18T13:01:13,BUY,niso-bot,NSE_FO|57002,150,94.35,75.48,122.66,ENTRY
2025-12-18T13:05:56,BUY,niso-bot,NSE_FO|57002,150,95.45,76.36,124.09,ENTRY
2025-12-18T13:24:04,BUY,niso-bot,NSE_FO|56995,150,74.5,59.6,96.85,ENTRY
2025-12-18T13:28:22,BUY,niso-bot,NSE_FO|57002,150,95.2,76.16,123.76,ENTRY
2025-12-18T14:07:51,SELL,niso-bot,NSE_FO|57002,150,,76.16,123.76,EXIT_TARGET
2025-12-18T14:59:57,BUY,niso-bot,NSE_FO|56991,150,85.8,68.64,111.54,ENTRY
2025-12-18T15:02:27,BUY,niso-bot,NSE_FO|56991,150,77.45,61.96,100.69,ENTRY
2025-12-18T15:03:25,BUY,niso-bot,NSE_FO|56991,150,76.7,61.36,99.71,ENTRY
2025-12-18T15:06:05,BUY,niso-bot,NSE_FO|56995,150,96.05,76.84,124.86,ENTRY
2025-12-18T15:08:16,BUY,niso-bot,NSE_FO|56991,150,74.8,59.84,97.24,ENTRY
2025-12-18T15:12:16,BUY,niso-bot,NSE_FO|56991,150,75.5,60.4,98.15,ENTRY
2025-12-18T15:13:40,BUY,niso-bot,NSE_FO|56991,150,78.15,62.52,101.6,ENTRY
2025-12-18T15:13:58,BUY,niso-bot,NSE_FO|56991,150,77.85,62.28,101.2,ENTRY
2025-12-19T09:35:53,BUY,niso-bot,NSE_FO|57004,150,79.45,63.56,103.29,ENTRY
2025-12-19T10:27:39,SELL,niso-bot,NSE_FO|57004,150,,63.56,103.29,EXIT_TRAIL
2025-12-19T11:31:06,BUY,niso-ema-bot,NSE_FO|57004,150,88.25,70.6,114.73,ENTRY
2025-12-19T11:31:46,BUY,niso-ema-bot,NSE_FO|57004,150,90.2,72.16,117.26,ENTRY
2025-12-19T12:02:16,SELL,niso-ema-bot,NSE_FO|57004,150,,72.16,117.26,EXIT_TRAIL
2025-12-22T09:35:17,BUY,niso-ema-bot,NSE_FO|57012,150,55.1,44.08,71.63,ENTRY
2025-12-22T09:59:14,SELL,niso-ema-bot,NSE_FO|57012,150,,44.08,71.63,EXIT_TRAIL
